"cardId","cardName","colorCosts","colorCostsColor","colorCostsCount","colors","counterLevel","damage","description","effectList","imageName","isPersistentSpell","isTO","level","power","rarity","reviveLevel","traits","types"
"test_89","ドッペルゲンガー","[{""S"":""black""},{""S"":""black""},{""S"":""black""}]","black","2","[{""S"":""black""}]","0","0","召喚時:このユニットを除き、場で最もレベルの高いユニットと同名のカードを自分の場に出す。\nTO:召喚時効果を適用する。","[{""M"":{""activationType"":{""S"":""ShieldTrigger""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""OnPlay""},""actions"":{""L"":[]}}}]","black_monster","","true","6","1000","R","0","[{""S"":""monster""}]","[{""S"":""monster""}]"
"test_77","代償の祈り","[{""S"":""yellow""},{""S"":""yellow""},{""S"":""yellow""}]","yellow","2","[{""S"":""yellow""}]","0","0","お互いのダメージエリアのカードを全て持ち主の手札に加え、お互いに元々ダメージエリアに置かれていた数のダメージを受ける。","[{""M"":{""activationType"":{""S"":""Arts""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""DamageKey""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""Bounce""},""keyword"":{""S"":""""},""value"":{""N"":""0""},""prompt"":{""S"":""""},""target"":{""S"":""PlayerDamageZone""}}},{""M"":{""mode"":{""S"":""CheckPreviousCount""},""duration"":{""S"":""""},""sourceKey"":{""S"":""DamageKey""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""ApplyDamage""},""keyword"":{""S"":""""},""value"":{""N"":""0""},""prompt"":{""S"":""""},""target"":{""S"":""PlayerLeader""}}}]}}}]","yellow_magic","","false","8","0","R","0","[{""S"":""spell""}]","[{""S"":""spell""}]"
"test_91","コープスキーパー","[{""S"":""black""}]","black","1","[{""S"":""black""}]","0","1","召喚時:相手の手札が6枚以上なら1枚をランダムに墓地へ送る。","[{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""EnemyHandCount>=6""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""OnSummon""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""random""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""DeleteTarget""},""type"":{""S"":""Select""},""keyword"":{""S"":""""},""value"":{""N"":""0""},""target"":{""S"":""EnemyHand""}}},{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""DeleteTarget""},""type"":{""S"":""Discard""},""keyword"":{""S"":""""},""value"":{""N"":""0""},""target"":{""S"":""""}}}]}}}]","dark_knight","","false","3","2000","C","0","[{""S"":""monster""}]","[{""S"":""monster""}]"
"test_87","発狂処刑人","[{""S"":""black""},{""S"":""black""}]","black","1","[{""S"":""black""}]","0","2","攻撃時:自分のリーダーにダメージ1を与える。","[{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""OnAttack""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""ApplyDamage""},""keyword"":{""S"":""""},""value"":{""S"":""1""},""target"":{""S"":""PlayerLeader""}}}]}}}]","dark_knight","","false","4","4000","C","0","[{""S"":""monster""}]","[{""S"":""monster""}]"
"test_55","緑アーツ","[{""S"":""green""}]","green","1","[{""S"":""green""}]","0","0","ターン終了時まで自分のユニット1体は『パワー+2000』を得る。\nリバース","[{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""マナ+1。""},""optional"":{""BOOL"":false},""trigger"":{""S"":""""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""options"":{""BOOL"":false},""type"":{""S"":""GainLevel""},""keyword"":{""S"":""""},""value"":{""S"":""1""},""target"":{""S"":""PlayerLeader""}}}]}}},{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""カラーコスト緑を1破棄すると追加マナ+1。""},""optional"":{""BOOL"":true},""trigger"":{""S"":""""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""DestroyLevel""},""keyword"":{""S"":""green""},""value"":{""S"":""1""},""target"":{""S"":""PlayerLeader""}}},{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""GainLevel""},""keyword"":{""S"":""""},""value"":{""S"":""1""},""target"":{""S"":""PlayerLeader""}}}]}}}]","green_magic_3","","false","4","0","","0","[{""S"":""spell""}]","[{""S"":""spell""}]"
"test_50","絡苔のトルゴン","[{""S"":""green""},{""S"":""green""}]","green","2","[{""S"":""green""}]","0","1","破壊時:次のターンの間、相手は2体以上ユニットを召喚できない。","[{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""OnDestroy""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""2""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""SetPlayerStatus""},""keyword"":{""S"":""SummonLimited1""},""value"":{""N"":""0""},""target"":{""S"":""EnemyLeader""}}}]}}}]","green_monster_10","","false","4","1000","C","0","[{""S"":""monster""}]","[{""S"":""monster""}]"
"token_008","特攻機ブレイバー","[{""S"":""yellow""}]","yellow","1","[{""S"":""yellow""}]","","1","ゲイル","[{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""Passive""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""KeywordAura""},""keyword"":{""S"":""SpeedAttacker""},""value"":{""N"":""0""},""target"":{""S"":""Self""}}}]}}}]","","","","2","2000","C","","[{""S"":""monster""}]","[{""S"":""monster""}]"
"test_60","小命の園","[{""S"":""green""}]","green","2","[{""S"":""green""}]","0","0","発動時:ターン終了時まで場のユニット全ては『パワー+1000』を得る。\n発動中:お互いのパワー3000以下のユニットは攻撃対象にならない。","[{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""power<=3000""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""KeywordAura""},""keyword"":{""S"":""UnAttackable""},""value"":{""N"":""0""},""target"":{""S"":""AllField""}}}]}}}]","green_field","","false","4","0","C","0","[{""S"":""field""}]","[{""S"":""field""}]"
"test_47","森律の顕神アルメリア","[{""S"":""green""},{""S"":""green""},{""S"":""green""}]","green","3","[{""S"":""green""}]","0","2","相手のフィールドにのみカードが存在する場合、手札のこのカードのレベルは6になる。\n召喚時:相手のユニットを2体まで除外する。相手は除外されたユニットの数まで同色のカラーを獲得する。","[{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""OnlyEnemyFieldHasMonsters""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""相手の場にのみカードが存在する時コスト-3。""},""optional"":{""BOOL"":false},""trigger"":{""S"":""Passive""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""CostModifier""},""keyword"":{""S"":""""},""value"":{""S"":""-3""},""target"":{""S"":""Self""}}}]}}},{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""OnPlay""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""ExileKey""},""type"":{""S"":""Select""},""keyword"":{""S"":""""},""value"":{""S"":""2""},""target"":{""S"":""EnemyField""}}},{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""ExileKey""},""type"":{""S"":""Exile""},""keyword"":{""S"":""""},""value"":{""N"":""0""},""target"":{""S"":""""}}}]}}}]","green_monster_7","","false","9","7000","SR","0","[{""S"":""monster""}]","[{""S"":""monster""}]"
"test_81","黒ユニット","[{""S"":""black""}]","","","[{""S"":""black""}]","0","1","攻撃時:相手は手札を1枚ランダムに墓地へ送り、墓地のカードを1枚ランダムに手札に加える。","","black_monster_1","","false","4","3000","","0","[{""S"":""monster""}]","[{""S"":""monster""}]"
